timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock,cpu_power,cpu_energy,cpu_temperature,cpu_socket0_temperature,cpu_socket0_pkg_watt,cpu_socket1_temperature,cpu_socket1_pkg_watt
1760584783.572657,2025-10-16 11:19:43.572,18.76,0,34,1,16376,210,405,13.18,0,35,1,16376,210,405,21.24,0,33,1,16376,210,405,16.28,0,31,1,16376,210,405,134.7434666949792,13.95,35.849999999999994,36.9,0.0,34.8,0.0
1760584784.0625806,2025-10-16 11:19:44.062,18.85,0,34,1,16376,210,405,13.13,0,35,1,16376,210,405,21.25,0,33,1,16376,210,405,16.25,0,31,1,16376,210,405,133.64169354722463,13.74,35.849999999999994,36.9,68.12,34.8,66.28
1760584784.4199083,2025-10-16 11:19:44.419,18.85,0,34,1,16376,210,405,13.13,0,35,1,16376,210,405,21.25,0,33,1,16376,210,405,16.25,0,31,1,16376,210,405,128.5969060335761,13.35,35.849999999999994,36.9,59.06,34.8,66.11
1760584784.809787,2025-10-16 11:19:44.809,18.87,0,34,1,16376,210,405,13.16,0,35,1,16376,210,405,21.27,0,33,1,16376,210,405,16.27,0,31,1,16376,210,405,131.42938617697405,13.53,35.849999999999994,36.9,59.06,34.8,66.11
1760584785.1818216,2025-10-16 11:19:45.181,18.87,0,34,1,16376,210,405,13.16,0,35,1,16376,210,405,21.27,0,33,1,16376,210,405,16.27,0,31,1,16376,210,405,130.7961136702969,13.49,35.849999999999994,36.9,69.09,34.8,68.62
1760584785.5787997,2025-10-16 11:19:45.578,18.87,0,34,1,16376,210,405,13.16,0,35,1,16376,210,405,21.27,0,33,1,16376,210,405,16.27,0,31,1,16376,210,405,132.41361167173935,13.61,35.849999999999994,36.9,69.09,34.8,68.62
1760584785.9244652,2025-10-16 11:19:45.924,18.8,0,34,1,16376,210,405,13.25,0,35,1,16376,210,405,21.24,0,33,1,16376,210,405,16.31,0,31,1,16376,210,405,140.10736036117203,14.48,35.849999999999994,36.9,75.99,34.8,76.48
1760584786.2734334,2025-10-16 11:19:46.273,18.8,0,34,1,16376,210,405,13.25,0,35,1,16376,210,405,21.24,0,33,1,16376,210,405,16.31,0,31,1,16376,210,405,134.98873158806717,13.94,35.849999999999994,36.9,75.99,34.8,76.48
1760584786.6215546,2025-10-16 11:19:46.621,18.8,0,34,1,16376,210,405,13.25,0,35,1,16376,210,405,21.24,0,33,1,16376,210,405,16.31,0,31,1,16376,210,405,127.82105037418862,13.17,35.849999999999994,36.9,69.22,34.8,65.14
1760584786.9714313,2025-10-16 11:19:46.971,18.8,0,34,1,16376,210,405,13.25,0,35,1,16376,210,405,21.22,0,33,1,16376,210,405,16.4,0,31,1,16376,210,405,143.12514767043632,14.78,35.849999999999994,36.9,67.32,34.8,63.04
1760584787.3492086,2025-10-16 11:19:47.349,18.8,0,34,1,16376,210,405,13.25,0,35,1,16376,210,405,21.22,0,33,1,16376,210,405,16.4,0,31,1,16376,210,405,137.84136216909963,14.21,35.95,37.0,67.32,34.9,63.04
1760584787.6944299,2025-10-16 11:19:47.694,18.86,0,34,1,16376,210,405,13.24,0,35,1,16376,210,405,21.22,0,33,1,16376,210,405,16.4,0,31,1,16376,210,405,135.9900425477515,14.05,36.0,37.0,71.74,35.0,73.23
1760584788.0680208,2025-10-16 11:19:48.068,18.86,0,34,1,16376,210,405,13.24,0,35,1,16376,210,405,21.21,0,33,1,16376,210,405,16.42,0,31,1,16376,210,405,131.0867077430171,13.55,36.0,37.0,71.74,35.0,73.23
1760584788.4118257,2025-10-16 11:19:48.411,18.86,0,34,1,16376,210,405,13.24,0,35,1,16376,210,405,21.21,0,33,1,16376,210,405,16.42,0,31,1,16376,210,405,127.86869171797099,13.2,36.0,37.0,60.8,35.0,54.63
1760584788.7529702,2025-10-16 11:19:48.752,18.81,0,34,1,16376,210,405,13.26,0,35,1,16376,210,405,21.21,0,33,1,16376,210,405,16.42,0,31,1,16376,210,405,129.36984980730904,13.38,36.0,37.0,60.8,35.0,54.63
1760584789.1014807,2025-10-16 11:19:49.101,18.81,0,34,1,16376,210,405,13.26,0,35,1,16376,210,405,21.16,0,33,1,16376,210,405,16.38,0,31,1,16376,210,405,130.63741480277747,13.53,36.0,37.0,71.26,35.0,69.19
1760584789.493248,2025-10-16 11:19:49.493,18.81,0,34,1,16376,210,405,13.26,0,35,1,16376,210,405,21.16,0,33,1,16376,210,405,16.38,0,31,1,16376,210,405,140.14859794129796,14.56,36.0,37.0,65.46,35.0,68.43
1760584789.856505,2025-10-16 11:19:49.856,18.72,0,34,1,16376,210,405,13.27,0,35,1,16376,210,405,21.11,0,33,1,16376,210,405,16.4,0,31,1,16376,210,405,129.10750740494026,13.33,35.95,36.9,65.46,35.0,68.43
1760584790.2221103,2025-10-16 11:19:50.222,18.72,0,34,1,16376,210,405,13.27,0,35,1,16376,210,405,21.11,0,33,1,16376,210,405,16.4,0,31,1,16376,210,405,133.6152787390115,13.75,35.95,36.9,65.73,35.0,70.17
1760584790.568955,2025-10-16 11:19:50.568,18.72,0,34,1,16376,210,405,13.27,0,35,1,16376,210,405,21.11,0,33,1,16376,210,405,16.4,0,31,1,16376,210,405,132.25373155752612,13.59,35.95,36.9,65.73,35.0,70.17
1760584790.9212835,2025-10-16 11:19:50.921,18.76,0,34,1,16376,210,405,13.27,0,35,1,16376,210,405,21.12,0,33,1,16376,210,405,16.35,0,31,1,16376,210,405,127.23095624079049,13.11,35.95,36.9,48.13,35.0,61.82
1760584791.2731223,2025-10-16 11:19:51.273,18.76,0,34,1,16376,210,405,13.27,0,35,1,16376,210,405,21.12,0,33,1,16376,210,405,16.35,0,31,1,16376,210,405,137.5092181525543,14.27,35.95,36.9,48.13,35.0,61.82
1760584791.63569,2025-10-16 11:19:51.635,18.74,0,34,1,16376,210,405,13.27,0,35,1,16376,210,405,21.12,0,33,1,16376,210,405,16.35,0,31,1,16376,210,405,129.6487437109137,13.43,35.95,36.9,66.81,35.0,60.97
1760584791.987873,2025-10-16 11:19:51.987,18.74,0,34,1,16376,210,405,13.23,0,35,1,16376,210,405,21.14,0,33,1,16376,210,405,16.31,0,31,1,16376,210,405,142.97381120648922,14.73,35.95,36.9,66.81,35.0,60.97
1760584792.3373632,2025-10-16 11:19:52.337,18.74,0,34,1,16376,210,405,13.23,0,35,1,16376,210,405,21.14,0,33,1,16376,210,405,16.31,0,31,1,16376,210,405,129.16697063863887,13.38,35.95,36.9,66.51,35.0,56.7
1760584792.6728673,2025-10-16 11:19:52.672,18.7,0,34,1,16376,210,405,13.23,0,35,1,16376,210,405,21.14,0,33,1,16376,210,405,16.31,0,31,1,16376,210,405,135.47192422100312,14.03,35.95,36.9,59.88,35.0,62.53
