timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock
1759808180.539742,2025-10-07 11:36:20.539,55.71,15,44,14994,16376,0,0,50.85,0,43,13562,16376,0,0,61.84,0,43,14556,16376,0,0,54.1,0,38,13562,16376,0,0
1759808180.773325,2025-10-07 11:36:20.773,54.31,0,44,14994,16376,0,0,50.92,0,43,13562,16376,0,0,61.85,0,43,14556,16376,0,0,56.06,0,39,13562,16376,0,0
1759808180.9880426,2025-10-07 11:36:20.988,54.25,0,45,14994,16376,0,0,51.04,4,43,13562,16376,0,0,61.87,0,45,14556,16376,0,0,54.15,0,38,13562,16376,0,0
1759808181.2288888,2025-10-07 11:36:21.228,54.27,0,45,14994,16376,0,0,53.23,0,43,13562,16376,0,0,64.56,0,43,14556,16376,0,0,56.65,0,39,13562,16376,0,0
1759808181.4371266,2025-10-07 11:36:21.437,56.86,18,44,14994,16376,0,0,50.97,0,43,13562,16376,0,0,61.92,0,43,14556,16376,0,0,54.26,0,38,13562,16376,0,0
1759808181.6513665,2025-10-07 11:36:21.651,55.43,0,45,14994,16376,0,0,53.28,0,43,13562,16376,0,0,64.61,0,43,14556,16376,0,0,56.69,0,39,13562,16376,0,0
1759808181.8621452,2025-10-07 11:36:21.862,54.33,0,47,14994,16376,0,0,50.98,0,43,13562,16376,0,0,61.97,0,43,14556,16376,0,0,54.28,0,39,13562,16376,0,0
1759808182.076459,2025-10-07 11:36:22.076,56.91,0,45,14994,16376,0,0,53.16,0,43,13562,16376,0,0,64.64,0,44,14556,16376,0,0,56.71,0,39,13562,16376,0,0
1759808182.278511,2025-10-07 11:36:22.278,54.32,0,44,14994,16376,0,0,50.98,0,43,13562,16376,0,0,61.99,0,43,14556,16376,0,0,54.27,0,39,13562,16376,0,0
1759808182.4679332,2025-10-07 11:36:22.467,56.95,0,45,14994,16376,0,0,53.25,19,43,13562,16376,0,0,64.65,0,44,14556,16376,0,0,56.7,3,39,13562,16376,0,0
